SaleID,DateID,ProductID,StoreID,CustomerID,Quantity,Total_Sales
1,20240818,105,30,6386,1,2039.0
2,20240210,113,31,7942,1,969.95
3,20240128,131,17,9759,1,130.0
4,20240514,134,11,1244,3,2640.0
5,20240719,109,20,1020,1,373.0
6,20241123,102,48,9585,3,2748.0
7,20240924,111,9,6767,1,702.0
8,20240202,148,2,4515,2,1586.5
9,20240217,130,37,2910,1,97.0
10,20240302,128,1,9481,2,1483.9
11,20240803,104,4,6882,1,981.0
12,20241019,124,36,9552,2,328.0
13,20240408,140,25,9076,1,190.0
14,20240620,130,3,2622,1,92.15
15,20241225,120,9,5314,1,1026.0
16,20240801,119,22,3453,2,2356.0
17,20240204,138,23,3015,2,4822.0
18,20240814,121,12,3800,2,3608.0
19,20240410,103,10,9772,3,3069.0
20,20240510,112,34,7752,3,2166.0
21,20240913,144,43,8453,2,1442.0
22,20240105,141,10,3853,2,762.0
23,20240805,149,30,3236,1,1020.0
24,20240911,148,22,5176,2,1670.0
25,20241224,119,6,3155,3,3534.0
26,20241009,112,50,6698,1,722.0
27,20240725,116,2,7829,2,1466.0
28,20240115,135,30,9537,2,2296.0
29,20241211,132,2,2886,3,2172.0
30,20240211,100,32,7471,2,1692.0
31,20240627,114,42,9746,2,171.0
32,20240303,112,16,4770,1,722.0
33,20241217,116,12,9391,2,1466.0
34,20240818,123,1,3940,2,486.0
35,20240828,107,8,4490,3,775.2
36,20240221,149,48,8899,1,1020.0
37,20240405,126,50,1306,1,254.0
38,20240809,144,13,4075,2,1442.0
39,20240818,122,15,2656,2,5462.0
40,20240824,145,44,8244,2,2106.0
41,20240522,107,8,7611,1,272.0
42,20240619,107,10,7322,3,775.2
43,20240129,125,46,3692,1,378.0
44,20240205,146,5,2764,1,84.55
45,20240113,112,50,1275,2,1444.0
46,20240608,138,19,6271,1,2411.0
47,20241122,136,47,8331,1,957.6
48,20240705,148,38,6025,1,835.0
49,20240830,127,11,5050,2,1266.0
50,20240326,124,43,9080,2,328.0
51,20241010,115,20,4460,3,356.25
52,20240306,101,20,4835,1,1045.0
53,20240618,117,21,5278,2,1950.0
54,20240214,116,18,2844,2,1466.0
55,20240302,129,50,1071,3,2938.35
56,20240513,138,10,8386,3,6509.7
57,20241010,112,34,7862,3,2166.0
58,20240128,131,26,8340,3,390.0
59,20240417,149,30,8635,1,969.0
60,20240213,128,9,2043,1,781.0
61,20241205,145,46,4042,2,2106.0
62,20241012,129,31,1814,2,2062.0
63,20241126,117,42,6622,3,2925.0
64,20240507,112,4,8332,1,722.0
65,20241213,142,6,1309,3,711.0
66,20240818,120,14,7661,1,1026.0
67,20240708,129,4,5227,2,1958.9
68,20240812,120,26,2877,1,1026.0
69,20241009,147,47,3486,1,121.0
70,20240430,116,48,7886,2,1392.7
71,20240425,139,39,5835,1,261.0
72,20240820,118,17,1794,2,1830.0
73,20240915,114,19,7786,1,90.0
74,20241224,108,49,5014,1,194.0
75,20240716,109,6,8392,1,373.0
76,20240516,143,29,6353,2,1482.0
77,20241113,130,11,4407,3,291.0
78,20240613,122,16,1974,3,8193.0
79,20240812,129,30,5237,3,3093.0
80,20241102,132,25,8248,1,724.0
81,20240821,108,40,5369,2,388.0
82,20240620,146,11,9050,1,89.0
83,20240531,100,7,1464,1,846.0
84,20241110,143,26,6327,1,741.0
85,20240608,134,22,6415,3,2640.0
86,20240405,110,25,9115,1,254.0
87,20240820,133,19,1287,1,1053.0
88,20240628,115,31,4195,2,250.0
89,20240422,108,26,2992,1,194.0
90,20241113,131,42,8450,1,130.0
91,20240221,114,41,3925,1,90.0
92,20240924,111,36,2120,3,2106.0
93,20241021,132,23,6310,1,687.8
94,20240422,144,47,1446,3,2163.0
95,20240410,113,13,7627,2,2042.0
96,20240422,107,25,3896,2,489.6
97,20240321,107,2,1721,2,544.0
98,20240705,126,2,3163,3,685.8
99,20240422,111,16,4980,2,1404.0
100,20240102,100,9,5502,3,2538.0
101,20240509,142,28,2725,1,237.0
102,20240807,139,13,9885,2,522.0
103,20240223,141,35,4413,1,381.0
104,20241208,110,41,1494,1,254.0
105,20240811,138,13,1947,1,2290.45
106,20240812,142,31,1022,2,474.0
107,20240505,130,21,2128,3,291.0
108,20240509,116,32,1557,3,2199.0
109,20240222,132,34,4730,3,2172.0
110,20240620,131,8,6341,1,130.0
111,20240805,128,41,7998,1,781.0
112,20240608,120,48,8182,2,2052.0
113,20240716,120,2,8034,3,3078.0
114,20240903,139,38,2656,2,522.0
